resume_text,jd_text,label,jd_role,candidate_role
"Detail-oriented Product Manager with hands-on experience across projects. Has 1 years of professional experience. Proficient in agile, ci/cd, communication, jira, product strategy, scrum, selenium. Known for strong communication and teamwork.","We are hiring a Product Manager to join our growing team. The ideal candidate has 3+ years of experience and is skilled in user research, product roadmap, stakeholder management, communication, data analysis. We value problem solving and a growth mindset.",0,Product Manager,Product Manager
"Motivated UI/UX Designer eager to contribute technical expertise. 4 years working in related roles. Proficient in adobe xd, design systems, figma, prototyping, usability testing, wireframing. Continuously learning new tools and technologies.","Backend Developer wanted for a fast-paced, collaborative environment. The ideal candidate has 7+ years of experience and is skilled in python, docker, django, rest api, redis, microservices. Remote-friendly with flexible hours.",0,Backend Developer,UI/UX Designer
"Product Manager with a proven track record of delivering results. Has 2 years of professional experience. Proficient in accessibility, agile, communication, jira, responsive design, stakeholder management, user research. Known for strong communication and teamwork.","Product Manager wanted for a fast-paced, collaborative environment. Requirements: at least 4 years of relevant experience, with hands-on skills in product roadmap, scrum, jira, stakeholder management, product strategy, communication, data analysis. Strong communication and teamwork are a plus.",0,Product Manager,Product Manager
"Experienced Cybersecurity Analyst with a passion for building great products. Brings 6 years of hands-on industry experience. Proficient in compliance, incident response, linux, network security, penetration testing, python, risk assessment, siem. Continuously learning new tools and technologies.","Mobile Developer wanted for a fast-paced, collaborative environment. You should have 5+ years in the field and be comfortable with kotlin, ios, android, react native, git, mobile ui design. Remote-friendly with flexible hours.",0,Mobile Developer,Cybersecurity Analyst
"Mobile Developer with a proven track record of delivering results. Has 10 years of professional experience. Proficient in android, communication, git, mobile ui design, rest api, swift. Continuously learning new tools and technologies.","Join us as a Cybersecurity Analyst and make an impact from day one. You should have 4+ years in the field and be comfortable with compliance, python, incident response, firewalls, network security. Strong communication and teamwork are a plus.",0,Cybersecurity Analyst,Mobile Developer
"Motivated Frontend Developer eager to contribute technical expertise. Has 8 years of professional experience. Core skills include accessibility, css, git, html, react, redux, responsive design, rest api, typescript. Continuously learning new tools and technologies.","Join us as a UI/UX Designer and make an impact from day one. The ideal candidate has 5+ years of experience and is skilled in wireframing, prototyping, usability testing, user research, figma, design systems. Competitive salary and benefits offered.",0,UI/UX Designer,Frontend Developer
"Experienced UI/UX Designer with a passion for building great products. Brings 1 years of hands-on industry experience. Core skills include design systems, interaction design, prototyping, usability testing, user research, wireframing. Comfortable working independently or in a team.","Our company is looking for an experienced Machine Learning Engineer to help us scale. You should have 1+ years in the field and be comfortable with tensorflow, deep learning, python, mlops, model deployment. Remote-friendly with flexible hours.",0,Machine Learning Engineer,UI/UX Designer
"Detail-oriented Cloud Engineer with hands-on experience across projects. Brings 7 years of hands-on industry experience. Hands-on experience with aws, ci/cd, cloud security, docker, gcp, kubernetes, linux, networking. Known for strong communication and teamwork.","Join us as a Cloud Engineer and make an impact from day one. The ideal candidate has 4+ years of experience and is skilled in aws, linux, azure, gcp, ci/cd, kubernetes, terraform, docker. We value problem solving and a growth mindset.",1,Cloud Engineer,Cloud Engineer
"Detail-oriented Data Scientist with hands-on experience across projects. 6 years working in related roles. Hands-on experience with classification, feature engineering, jupyter, numpy, postgresql, python, redis, scikit-learn, statistics. Comfortable working independently or in a team.","We are hiring a Product Manager to join our growing team. You should have 4+ years in the field and be comfortable with communication, product strategy, data analysis, agile, jira, scrum, stakeholder management, product roadmap. Competitive salary and benefits offered.",0,Product Manager,Data Scientist
"Motivated Product Manager eager to contribute technical expertise. Brings 9 years of hands-on industry experience. Proficient in agile, aws, communication, data analysis, jira, networking, product strategy, scrum, stakeholder management, user research. Known for strong communication and teamwork.","Product Manager wanted for a fast-paced, collaborative environment. Requirements: at least 2 years of relevant experience, with hands-on skills in product roadmap, agile, product strategy, scrum, user research. Competitive salary and benefits offered.",1,Product Manager,Product Manager
"Motivated Mobile Developer eager to contribute technical expertise. 3 years working in related roles. Hands-on experience with flutter, git, kotlin, react native, rest api. Continuously learning new tools and technologies.","Product Manager wanted for a fast-paced, collaborative environment. The ideal candidate has 6+ years of experience and is skilled in data analysis, jira, agile, scrum, product roadmap. Competitive salary and benefits offered.",0,Product Manager,Mobile Developer
"Detail-oriented Product Manager with hands-on experience across projects. 1 years working in related roles. Core skills include bash, data analysis, jira, mentoring, product roadmap, scrum, stakeholder management, terraform, user research. Known for strong communication and teamwork.","Join us as a DevOps Engineer and make an impact from day one. You should have 6+ years in the field and be comfortable with ansible, jenkins, linux, networking, docker. Competitive salary and benefits offered.",1,DevOps Engineer,Product Manager
"Experienced Cloud Engineer with a passion for building great products. Has 8 years of professional experience. Core skills include aws, azure, ci/cd, cloud security, docker, jenkins, kubernetes, monitoring, networking. Comfortable working independently or in a team.","Join us as a Cloud Engineer and make an impact from day one. Requirements: at least 2 years of relevant experience, with hands-on skills in cloud security, terraform, docker, networking, aws, kubernetes, gcp. Strong communication and teamwork are a plus.",1,Cloud Engineer,Cloud Engineer
"Motivated Data Scientist eager to contribute technical expertise. Brings 8 years of hands-on industry experience. Proficient in a/b testing, classification, data visualization, docker, jupyter, leadership, machine learning, monitoring, pandas, regression. Known for strong communication and teamwork.","We are hiring a Data Scientist to join our growing team. The ideal candidate has 7+ years of experience and is skilled in a/b testing, machine learning, numpy, pandas, regression. Competitive salary and benefits offered.",1,Data Scientist,Data Scientist
"Motivated Frontend Developer eager to contribute technical expertise. Has 9 years of professional experience. Hands-on experience with accessibility, git, html, mentoring, redux, responsive design, rest api, teamwork, typescript. Known for strong communication and teamwork.","Join us as a Cloud Engineer and make an impact from day one. Requirements: at least 5 years of relevant experience, with hands-on skills in networking, aws, kubernetes, cloud security, docker, linux, terraform, azure. Competitive salary and benefits offered.",0,Cloud Engineer,Frontend Developer
"Motivated Product Manager eager to contribute technical expertise. Has 5 years of professional experience. Proficient in agile, communication, data analysis, mentoring, product roadmap, stakeholder management, user research. Known for strong communication and teamwork.","We are hiring a Product Manager to join our growing team. The ideal candidate has 7+ years of experience and is skilled in agile, jira, scrum, product roadmap, communication. Strong communication and teamwork are a plus.",0,Product Manager,Product Manager
"Motivated Mobile Developer eager to contribute technical expertise. 7 years working in related roles. Core skills include flutter, git, ios, jenkins, mobile ui design, monitoring, react native, rest api. Known for strong communication and teamwork.","Our company is looking for an experienced Mobile Developer to help us scale. You should have 5+ years in the field and be comfortable with mobile ui design, ios, flutter, rest api, git. Strong communication and teamwork are a plus.",1,Mobile Developer,Mobile Developer
"Detail-oriented Machine Learning Engineer with hands-on experience across projects. Brings 3 years of hands-on industry experience. Proficient in aws, docker, feature engineering, jupyter, leadership, machine learning, mlops, model deployment, pandas, problem solving, python, pytorch, sql, tensorflow. Continuously learning new tools and technologies.","Our company is looking for an experienced Frontend Developer to help us scale. You should have 2+ years in the field and be comfortable with rest api, html, redux, typescript, react, javascript, responsive design. Strong communication and teamwork are a plus.",0,Frontend Developer,Machine Learning Engineer
"Machine Learning Engineer with a proven track record of delivering results. 8 years working in related roles. Proficient in compliance, deep learning, docker, feature engineering, model deployment, python, pytorch, tensorflow. Comfortable working independently or in a team.","Mobile Developer wanted for a fast-paced, collaborative environment. Requirements: at least 4 years of relevant experience, with hands-on skills in mobile ui design, kotlin, flutter, ios, git, react native, rest api, android. Competitive salary and benefits offered.",1,Mobile Developer,Machine Learning Engineer
"Motivated Data Scientist eager to contribute technical expertise. 6 years working in related roles. Hands-on experience with a/b testing, classification, numpy, regression, scikit-learn, sql. Known for strong communication and teamwork.","Our company is looking for an experienced Frontend Developer to help us scale. You should have 4+ years in the field and be comfortable with react, responsive design, html, accessibility, css, redux, git, typescript. We value problem solving and a growth mindset.",0,Frontend Developer,Data Scientist
"Motivated DevOps Engineer eager to contribute technical expertise. Brings 9 years of hands-on industry experience. Core skills include bash, ci/cd, ios, monitoring, networking, react native. Continuously learning new tools and technologies.","Our company is looking for an experienced DevOps Engineer to help us scale. Requirements: at least 7 years of relevant experience, with hands-on skills in ci/cd, aws, linux, ansible, monitoring, kubernetes. Competitive salary and benefits offered.",0,DevOps Engineer,DevOps Engineer
"Frontend Developer with a proven track record of delivering results. Has 8 years of professional experience. Proficient in css, leadership, project management, redux, responsive design, rest api. Known for strong communication and teamwork.","Our company is looking for an experienced Mobile Developer to help us scale. You should have 1+ years in the field and be comfortable with android, git, react native, rest api, ios. We value problem solving and a growth mindset.",0,Mobile Developer,Frontend Developer
"Experienced Cybersecurity Analyst with a passion for building great products. Brings 3 years of hands-on industry experience. Core skills include communication, compliance, firewalls, incident response, linux, mentoring, penetration testing, python, siem. Known for strong communication and teamwork.","We are hiring a Backend Developer to join our growing team. Requirements: at least 1 years of relevant experience, with hands-on skills in postgresql, docker, python, unit testing, rest api, django. Remote-friendly with flexible hours.",0,Backend Developer,Cybersecurity Analyst
"UI/UX Designer with a proven track record of delivering results. Has 4 years of professional experience. Hands-on experience with adobe xd, design systems, interaction design, problem solving, usability testing, user research. Known for strong communication and teamwork.","Our company is looking for an experienced UI/UX Designer to help us scale. The ideal candidate has 7+ years of experience and is skilled in usability testing, figma, prototyping, adobe xd, user research. Strong communication and teamwork are a plus.",0,UI/UX Designer,UI/UX Designer
"Experienced Backend Developer with a passion for building great products. Has 10 years of professional experience. Proficient in django, docker, flask, git, microservices, project management. Comfortable working independently or in a team.","Join us as a Product Manager and make an impact from day one. The ideal candidate has 2+ years of experience and is skilled in product strategy, agile, communication, data analysis, user research, stakeholder management, product roadmap, scrum. We value problem solving and a growth mindset.",0,Product Manager,Backend Developer
"Motivated Machine Learning Engineer eager to contribute technical expertise. 7 years working in related roles. Proficient in ansible, aws, docker, machine learning, model deployment. Known for strong communication and teamwork.","Join us as a Frontend Developer and make an impact from day one. The ideal candidate has 3+ years of experience and is skilled in javascript, react, accessibility, responsive design, git, redux. We value problem solving and a growth mindset.",0,Frontend Developer,Machine Learning Engineer
"Motivated Data Scientist eager to contribute technical expertise. 5 years working in related roles. Core skills include classification, feature engineering, machine learning, numpy, pandas, python, sql, statistics. Known for strong communication and teamwork.","Join us as a Machine Learning Engineer and make an impact from day one. You should have 6+ years in the field and be comfortable with pytorch, deep learning, docker, python, model deployment, feature engineering. We value problem solving and a growth mindset.",0,Machine Learning Engineer,Data Scientist
"Motivated Backend Developer eager to contribute technical expertise. Has 0 years of professional experience. Hands-on experience with docker, leadership, postgresql, rest api, sql, unit testing. Known for strong communication and teamwork.","We are hiring a Cybersecurity Analyst to join our growing team. The ideal candidate has 4+ years of experience and is skilled in incident response, firewalls, siem, compliance, risk assessment. We value problem solving and a growth mindset.",1,Cybersecurity Analyst,Backend Developer
"Detail-oriented Mobile Developer with hands-on experience across projects. Has 0 years of professional experience. Proficient in flutter, git, mobile ui design, rest api, swift. Known for strong communication and teamwork.","Our company is looking for an experienced Mobile Developer to help us scale. You should have 4+ years in the field and be comfortable with rest api, kotlin, android, react native, git. Remote-friendly with flexible hours.",0,Mobile Developer,Mobile Developer
"Detail-oriented Cloud Engineer with hands-on experience across projects. Brings 10 years of hands-on industry experience. Core skills include aws, azure, kubernetes, terraform. Comfortable working independently or in a team.","We are hiring a Cloud Engineer to join our growing team. The ideal candidate has 7+ years of experience and is skilled in kubernetes, cloud security, docker, networking, azure. Competitive salary and benefits offered.",0,Cloud Engineer,Cloud Engineer
"Data Scientist with a proven track record of delivering results. Has 0 years of professional experience. Hands-on experience with classification, jupyter, pandas, python. Comfortable working independently or in a team.","We are hiring a Data Analyst to join our growing team. The ideal candidate has 4+ years of experience and is skilled in a/b testing, data visualization, pandas, power bi, tableau, excel, python, reporting. Competitive salary and benefits offered.",0,Data Analyst,Data Scientist
"Experienced Cybersecurity Analyst with a passion for building great products. Has 7 years of professional experience. Hands-on experience with compliance, firewalls, linux, network security, risk assessment, siem. Known for strong communication and teamwork.","We are hiring a Backend Developer to join our growing team. You should have 5+ years in the field and be comfortable with docker, sql, django, git, flask, rest api, redis, python. Strong communication and teamwork are a plus.",0,Backend Developer,Cybersecurity Analyst
"Detail-oriented Machine Learning Engineer with hands-on experience across projects. Brings 5 years of hands-on industry experience. Hands-on experience with deep learning, docker, feature engineering, machine learning, mlops, model deployment, python, pytorch, sql, tensorflow. Comfortable working independently or in a team.","Backend Developer wanted for a fast-paced, collaborative environment. Requirements: at least 7 years of relevant experience, with hands-on skills in python, git, rest api, postgresql, django, celery. Competitive salary and benefits offered.",0,Backend Developer,Machine Learning Engineer
"Detail-oriented Mobile Developer with hands-on experience across projects. Has 2 years of professional experience. Proficient in git, ios, kotlin, mobile ui design, react native, rest api, swift. Known for strong communication and teamwork.","Our company is looking for an experienced Mobile Developer to help us scale. You should have 2+ years in the field and be comfortable with ios, kotlin, react native, swift, android. Remote-friendly with flexible hours.",1,Mobile Developer,Mobile Developer
"Motivated Backend Developer eager to contribute technical expertise. 10 years working in related roles. Proficient in celery, django, docker, python, rest api, sql. Comfortable working independently or in a team.","Join us as a QA Engineer and make an impact from day one. You should have 1+ years in the field and be comfortable with jira, selenium, manual testing, api testing, test case design, test automation, python, regression testing. Remote-friendly with flexible hours.",0,QA Engineer,Backend Developer
"Detail-oriented Product Manager with hands-on experience across projects. 6 years working in related roles. Hands-on experience with agile, communication, data analysis, jira, product roadmap, product strategy, stakeholder management. Continuously learning new tools and technologies.","We are hiring a Cybersecurity Analyst to join our growing team. You should have 5+ years in the field and be comfortable with firewalls, penetration testing, network security, compliance, risk assessment. Competitive salary and benefits offered.",0,Cybersecurity Analyst,Product Manager
"Data Analyst with a proven track record of delivering results. Has 10 years of professional experience. Proficient in leadership, pandas, power bi, problem solving, python, reporting, sql, statistics, tableau. Comfortable working independently or in a team.","QA Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 5+ years of experience and is skilled in selenium, manual testing, api testing, python, ci/cd, test automation, jira, test case design. We value problem solving and a growth mindset.",1,QA Engineer,Data Analyst
"Detail-oriented Mobile Developer with hands-on experience across projects. Brings 8 years of hands-on industry experience. Core skills include android, flutter, git, ios, kotlin, mobile ui design, react native, rest api, swift. Continuously learning new tools and technologies.","Mobile Developer wanted for a fast-paced, collaborative environment. The ideal candidate has 6+ years of experience and is skilled in kotlin, mobile ui design, ios, swift, git, flutter. Strong communication and teamwork are a plus.",1,Mobile Developer,Mobile Developer
"Backend Developer with a proven track record of delivering results. Brings 2 years of hands-on industry experience. Hands-on experience with docker, git, postgresql, redis. Known for strong communication and teamwork.","Our company is looking for an experienced Backend Developer to help us scale. The ideal candidate has 1+ years of experience and is skilled in postgresql, unit testing, redis, rest api, git, sql, flask, microservices. Strong communication and teamwork are a plus.",0,Backend Developer,Backend Developer
"Product Manager with a proven track record of delivering results. 5 years working in related roles. Proficient in data analysis, jira, product strategy, project management, stakeholder management, user research. Comfortable working independently or in a team.","Our company is looking for an experienced QA Engineer to help us scale. You should have 3+ years in the field and be comfortable with selenium, manual testing, test case design, python, jira. Remote-friendly with flexible hours.",0,QA Engineer,Product Manager
"Detail-oriented Backend Developer with hands-on experience across projects. Brings 9 years of hands-on industry experience. Hands-on experience with adobe xd, celery, django, docker, flask, git, microservices, postgresql, usability testing. Known for strong communication and teamwork.","Join us as a Backend Developer and make an impact from day one. Requirements: at least 2 years of relevant experience, with hands-on skills in django, postgresql, docker, python, git, sql, redis, celery. We value problem solving and a growth mindset.",1,Backend Developer,Backend Developer
"Product Manager with a proven track record of delivering results. Brings 9 years of hands-on industry experience. Hands-on experience with agile, aws, data analysis, gcp, scrum, stakeholder management, user research. Comfortable working independently or in a team.","Our company is looking for an experienced Product Manager to help us scale. You should have 1+ years in the field and be comfortable with product roadmap, user research, stakeholder management, product strategy, scrum, agile, communication, jira. Competitive salary and benefits offered.",0,Product Manager,Product Manager
"Backend Developer with a proven track record of delivering results. Has 10 years of professional experience. Hands-on experience with celery, django, microservices, python, redis, sql, teamwork, unit testing. Comfortable working independently or in a team.","Our company is looking for an experienced Cloud Engineer to help us scale. You should have 4+ years in the field and be comfortable with cloud security, aws, networking, azure, gcp, terraform. Remote-friendly with flexible hours.",0,Cloud Engineer,Backend Developer
"Motivated Data Scientist eager to contribute technical expertise. Brings 3 years of hands-on industry experience. Proficient in data visualization, machine learning, mentoring, numpy, prototyping, regression, statistics, wireframing. Continuously learning new tools and technologies.","We are hiring a DevOps Engineer to join our growing team. Requirements: at least 5 years of relevant experience, with hands-on skills in jenkins, docker, linux, aws, kubernetes, bash, monitoring, terraform. Competitive salary and benefits offered.",0,DevOps Engineer,Data Scientist
"Detail-oriented Cloud Engineer with hands-on experience across projects. Brings 6 years of hands-on industry experience. Hands-on experience with aws, azure, ci/cd, cloud security, docker, gcp, kubernetes, linux, networking, terraform. Comfortable working independently or in a team.","We are hiring a Backend Developer to join our growing team. You should have 5+ years in the field and be comfortable with celery, git, django, unit testing, flask, postgresql, redis, sql. Strong communication and teamwork are a plus.",0,Backend Developer,Cloud Engineer
"Experienced Cloud Engineer with a passion for building great products. Brings 6 years of hands-on industry experience. Proficient in aws, azure, cloud security, docker, gcp, kubernetes, leadership, linux, networking, teamwork. Known for strong communication and teamwork.","Cloud Engineer wanted for a fast-paced, collaborative environment. You should have 5+ years in the field and be comfortable with cloud security, networking, linux, gcp, docker, terraform. Strong communication and teamwork are a plus.",1,Cloud Engineer,Cloud Engineer
"Detail-oriented QA Engineer with hands-on experience across projects. Brings 4 years of hands-on industry experience. Hands-on experience with adobe xd, api testing, ci/cd, communication, interaction design, leadership, manual testing, python, regression testing, selenium, test automation, test case design. Comfortable working independently or in a team.","Join us as a QA Engineer and make an impact from day one. You should have 2+ years in the field and be comfortable with python, jira, selenium, api testing, manual testing. We value problem solving and a growth mindset.",1,QA Engineer,QA Engineer
"Mobile Developer with a proven track record of delivering results. 6 years working in related roles. Proficient in android, flutter, git, ios, jira, problem solving, product roadmap, react native, rest api, swift, teamwork. Comfortable working independently or in a team.","Cybersecurity Analyst wanted for a fast-paced, collaborative environment. Requirements: at least 1 years of relevant experience, with hands-on skills in python, compliance, incident response, network security, penetration testing, linux, siem, firewalls. Remote-friendly with flexible hours.",0,Cybersecurity Analyst,Mobile Developer
"Detail-oriented Machine Learning Engineer with hands-on experience across projects. 6 years working in related roles. Hands-on experience with aws, deep learning, docker, pytorch, tensorflow. Comfortable working independently or in a team.","We are hiring a Machine Learning Engineer to join our growing team. You should have 1+ years in the field and be comfortable with pytorch, model deployment, mlops, feature engineering, deep learning. Remote-friendly with flexible hours.",0,Machine Learning Engineer,Machine Learning Engineer
"Product Manager with a proven track record of delivering results. Has 8 years of professional experience. Proficient in adobe xd, communication, data analysis, jira, product roadmap, product strategy, prototyping, user research. Known for strong communication and teamwork.","We are hiring a Frontend Developer to join our growing team. The ideal candidate has 3+ years of experience and is skilled in git, react, webpack, javascript, responsive design, rest api, accessibility. Competitive salary and benefits offered.",0,Frontend Developer,Product Manager
"Frontend Developer with a proven track record of delivering results. Brings 5 years of hands-on industry experience. Core skills include accessibility, css, rest api, typescript. Continuously learning new tools and technologies.","Join us as a Data Analyst and make an impact from day one. The ideal candidate has 6+ years of experience and is skilled in sql, python, reporting, excel, data visualization, tableau, power bi, a/b testing. We value problem solving and a growth mindset.",0,Data Analyst,Frontend Developer
"Detail-oriented QA Engineer with hands-on experience across projects. Brings 10 years of hands-on industry experience. Core skills include api testing, communication, manual testing, mentoring, python, test case design. Continuously learning new tools and technologies.","QA Engineer wanted for a fast-paced, collaborative environment. You should have 3+ years in the field and be comfortable with ci/cd, regression testing, jira, api testing, selenium. We value problem solving and a growth mindset.",0,QA Engineer,QA Engineer
"Detail-oriented Product Manager with hands-on experience across projects. Brings 1 years of hands-on industry experience. Hands-on experience with agile, communication, data analysis, jira, leadership, product roadmap, product strategy, scrum, stakeholder management, time management, user research. Known for strong communication and teamwork.","Join us as a UI/UX Designer and make an impact from day one. Requirements: at least 2 years of relevant experience, with hands-on skills in usability testing, design systems, wireframing, adobe xd, figma, prototyping, user research, interaction design. Remote-friendly with flexible hours.",0,UI/UX Designer,Product Manager
"Detail-oriented Machine Learning Engineer with hands-on experience across projects. Brings 1 years of hands-on industry experience. Core skills include deep learning, docker, feature engineering, project management, pytorch, sql, tensorflow, terraform. Continuously learning new tools and technologies.","Our company is looking for an experienced Data Scientist to help us scale. The ideal candidate has 3+ years of experience and is skilled in a/b testing, sql, scikit-learn, python, machine learning. Remote-friendly with flexible hours.",0,Data Scientist,Machine Learning Engineer
"Motivated QA Engineer eager to contribute technical expertise. Has 10 years of professional experience. Hands-on experience with api testing, ci/cd, jira, manual testing, python, regression testing, selenium, test automation, test case design. Continuously learning new tools and technologies.","Join us as a Backend Developer and make an impact from day one. The ideal candidate has 3+ years of experience and is skilled in postgresql, flask, sql, microservices, unit testing, celery, redis, docker. We value problem solving and a growth mindset.",0,Backend Developer,QA Engineer
"Detail-oriented Cloud Engineer with hands-on experience across projects. 1 years working in related roles. Core skills include aws, ci/cd, cloud security, communication, gcp, linux, terraform. Known for strong communication and teamwork.","Our company is looking for an experienced Cloud Engineer to help us scale. You should have 5+ years in the field and be comfortable with ci/cd, cloud security, docker, networking, linux, terraform, kubernetes, gcp. Strong communication and teamwork are a plus.",0,Cloud Engineer,Cloud Engineer
"Cybersecurity Analyst with a proven track record of delivering results. Has 3 years of professional experience. Proficient in compliance, firewalls, incident response, linux, network security, penetration testing, risk assessment, siem. Known for strong communication and teamwork.","We are hiring a DevOps Engineer to join our growing team. The ideal candidate has 7+ years of experience and is skilled in bash, monitoring, aws, ci/cd, kubernetes, terraform. Strong communication and teamwork are a plus.",0,DevOps Engineer,Cybersecurity Analyst
"Experienced Data Scientist with a passion for building great products. Has 6 years of professional experience. Hands-on experience with a/b testing, classification, feature engineering, jupyter. Known for strong communication and teamwork.","Join us as a Data Scientist and make an impact from day one. Requirements: at least 4 years of relevant experience, with hands-on skills in scikit-learn, numpy, python, feature engineering, pandas, sql. Strong communication and teamwork are a plus.",0,Data Scientist,Data Scientist
"Experienced Backend Developer with a passion for building great products. Has 1 years of professional experience. Proficient in celery, data visualization, django, docker, git, microservices, python, sql, statistics, unit testing. Continuously learning new tools and technologies.","DevOps Engineer wanted for a fast-paced, collaborative environment. You should have 3+ years in the field and be comfortable with jenkins, kubernetes, terraform, docker, linux, bash, ansible. We value problem solving and a growth mindset.",0,DevOps Engineer,Backend Developer
"Data Scientist with a proven track record of delivering results. Brings 1 years of hands-on industry experience. Proficient in a/b testing, classification, communication, feature engineering, jupyter, machine learning, python, regression, sql, statistics, teamwork. Comfortable working independently or in a team.","Join us as a Data Scientist and make an impact from day one. Requirements: at least 5 years of relevant experience, with hands-on skills in classification, sql, numpy, python, statistics, machine learning, feature engineering, jupyter. Strong communication and teamwork are a plus.",0,Data Scientist,Data Scientist
"Experienced Data Analyst with a passion for building great products. Brings 8 years of hands-on industry experience. Hands-on experience with data visualization, excel, pandas, power bi, python, sql, statistics, tableau. Continuously learning new tools and technologies.","Our company is looking for an experienced Backend Developer to help us scale. Requirements: at least 3 years of relevant experience, with hands-on skills in microservices, celery, sql, git, python, redis, docker, unit testing. Remote-friendly with flexible hours.",0,Backend Developer,Data Analyst
"Detail-oriented QA Engineer with hands-on experience across projects. Has 2 years of professional experience. Core skills include jira, manual testing, pandas, python, reporting, test automation. Known for strong communication and teamwork.","Mobile Developer wanted for a fast-paced, collaborative environment. Requirements: at least 2 years of relevant experience, with hands-on skills in flutter, swift, android, react native, ios. Strong communication and teamwork are a plus.",0,Mobile Developer,QA Engineer
"Detail-oriented Cybersecurity Analyst with hands-on experience across projects. Brings 2 years of hands-on industry experience. Hands-on experience with compliance, firewalls, incident response, jira, leadership, linux, network security, penetration testing, python, risk assessment, scrum, siem. Continuously learning new tools and technologies.","Join us as a Data Scientist and make an impact from day one. Requirements: at least 4 years of relevant experience, with hands-on skills in numpy, pandas, data visualization, statistics, a/b testing, jupyter, python. Competitive salary and benefits offered.",0,Data Scientist,Cybersecurity Analyst
"Experienced Backend Developer with a passion for building great products. 9 years working in related roles. Proficient in django, docker, flask, microservices, python, time management, unit testing. Known for strong communication and teamwork.","Data Scientist wanted for a fast-paced, collaborative environment. You should have 5+ years in the field and be comfortable with regression, classification, statistics, machine learning, numpy, pandas, sql. Competitive salary and benefits offered.",0,Data Scientist,Backend Developer
"UI/UX Designer with a proven track record of delivering results. Has 8 years of professional experience. Hands-on experience with adobe xd, figma, interaction design, prototyping, usability testing, user research. Comfortable working independently or in a team.","Join us as a DevOps Engineer and make an impact from day one. The ideal candidate has 3+ years of experience and is skilled in jenkins, terraform, docker, monitoring, kubernetes, networking, linux. We value problem solving and a growth mindset.",0,DevOps Engineer,UI/UX Designer
"Experienced DevOps Engineer with a passion for building great products. Brings 1 years of hands-on industry experience. Proficient in ansible, aws, bash, ci/cd, docker, jenkins, kubernetes, linux, networking, terraform. Comfortable working independently or in a team.","DevOps Engineer wanted for a fast-paced, collaborative environment. The ideal candidate has 7+ years of experience and is skilled in aws, jenkins, kubernetes, bash, terraform. Remote-friendly with flexible hours.",0,DevOps Engineer,DevOps Engineer
"Motivated Cybersecurity Analyst eager to contribute technical expertise. 8 years working in related roles. Hands-on experience with compliance, firewalls, network security, penetration testing. Comfortable working independently or in a team.","Join us as a Data Scientist and make an impact from day one. The ideal candidate has 1+ years of experience and is skilled in scikit-learn, data visualization, python, a/b testing, numpy, classification, feature engineering. Remote-friendly with flexible hours.",0,Data Scientist,Cybersecurity Analyst
"DevOps Engineer with a proven track record of delivering results. 1 years working in related roles. Proficient in bash, jenkins, kubernetes, linux, mentoring, monitoring, project management, prototyping, terraform, user research. Known for strong communication and teamwork.","Our company is looking for an experienced DevOps Engineer to help us scale. Requirements: at least 5 years of relevant experience, with hands-on skills in bash, ansible, monitoring, jenkins, terraform, networking. Competitive salary and benefits offered.",0,DevOps Engineer,DevOps Engineer
"Machine Learning Engineer with a proven track record of delivering results. 9 years working in related roles. Core skills include aws, deep learning, docker, leadership, machine learning, mlops, model deployment, problem solving, python, pytorch, sql, tensorflow. Comfortable working independently or in a team.","Our company is looking for an experienced Data Scientist to help us scale. The ideal candidate has 6+ years of experience and is skilled in statistics, jupyter, feature engineering, a/b testing, sql, scikit-learn. Remote-friendly with flexible hours.",0,Data Scientist,Machine Learning Engineer
"Data Analyst with a proven track record of delivering results. 3 years working in related roles. Proficient in a/b testing, cloud security, data visualization, kubernetes, leadership, pandas, power bi, problem solving, reporting, sql. Continuously learning new tools and technologies.","Cloud Engineer wanted for a fast-paced, collaborative environment. Requirements: at least 7 years of relevant experience, with hands-on skills in ci/cd, docker, gcp, linux, azure, terraform. We value problem solving and a growth mindset.",1,Cloud Engineer,Data Analyst
"Backend Developer with a proven track record of delivering results. 2 years working in related roles. Proficient in communication, django, docker, flask, git, python, redis, time management, unit testing. Comfortable working independently or in a team.","We are hiring a Data Analyst to join our growing team. The ideal candidate has 6+ years of experience and is skilled in excel, sql, reporting, data visualization, statistics, power bi, pandas. Strong communication and teamwork are a plus.",0,Data Analyst,Backend Developer
"Motivated UI/UX Designer eager to contribute technical expertise. Brings 5 years of hands-on industry experience. Hands-on experience with adobe xd, design systems, figma, interaction design, power bi, prototyping, tableau, wireframing. Continuously learning new tools and technologies.","Our company is looking for an experienced Data Analyst to help us scale. The ideal candidate has 1+ years of experience and is skilled in data visualization, python, excel, a/b testing, reporting, sql. Remote-friendly with flexible hours.",0,Data Analyst,UI/UX Designer
"Motivated DevOps Engineer eager to contribute technical expertise. Has 4 years of professional experience. Proficient in aws, bash, ci/cd, communication, docker, jenkins, kubernetes, linux, networking, terraform. Known for strong communication and teamwork.","We are hiring a Mobile Developer to join our growing team. Requirements: at least 5 years of relevant experience, with hands-on skills in swift, git, mobile ui design, ios, kotlin, react native, flutter. Competitive salary and benefits offered.",0,Mobile Developer,DevOps Engineer
